COD;NOME_LOCAL;COD_LOCAL;NIVEL
9345;ITABAIANA-SE;278;S
9350;LUCELIA;279;S
9355;CAPELA;280;S
9360;ALEGRE;281;S
9365;ITAMBE-BA;282;S
9370;JANUARIA;283;S
9375;ALMENARA;284;S
9380;ITABERABA;285;S
9385;MURIAE;286;S
9390;BOTAFOGO;287;S
9395;TIJUCA;288;S
9400;COPACABANA;289;S
9405;GARCA;290;S
9410;CAROLINA;291;S
9415;PARA DE MINAS;292;S
9420;AREIA;293;S
9425;MOGI DAS CRUZES;294;S
9430;SAO CARLOS;295;S
9435;BANGU;296;S
9440;NOSSA SENHORA LAPA;297;S
9450;PENHA FRANCA;298;S
9455;GUARAPUAVA;299;S
9465;EMPRESA PCA ARVORE;300;S
9475;IPIRANGA-SP;301;S
9480;SAO MANUEL;302;S
9485;EMPRESA BRAS;303;S
9490;RIO PARDO;304;S
9495;ITAJAI;305;S
9500;GUARATINGUETA;306;S
9505;LAGES;307;S
9510;ITAJUBA;308;S
9515;POCOS DE CALDAS;309;S
9520;MARTINOPOLIS;310;S
9525;CATALAO;311;S
9530;SANTO ANTONIO PADUA;312;S
9535;JATAI;313;S
9540;EMPRESA NOV.HAMBURGO;314;S
9565;TRES RIOS;315;S
9570;MANHUACU;316;S
9575;CAMBARA;317;S
9580;MONTENEGRO;318;S
9585;AMERICANA;319;S
9590;PRESIDENTE VENCESLAU;320;S
9595;CHAPECO;321;S
9605;SAO CAETANO DO SUL;322;S
9610;RUSSAS;323;S
9615;ANAPOLIS;324;S
9620;DANTAS BARRETO;325;S
9625;ITACOATIARA;326;S
9630;SAO LOURENCO DO SUL;327;S
9635;POMPEIA;328;S
9640;DUQUE DE CAXIAS;329;S
9645;ROSARIO DO SUL;330;S
9650;SANTANA DO IPANEMA;331;S
9655;IPU;332;S
9660;PARINTINS;333;S
9665;BATURITE;334;S
9670;NOVA FRIBURGO;335;S
9675;LAGARTO;336;S
9680;TUPANCIRETA;337;S
9685;ARROIO GRANDE;338;S
9690;SANTA ROSA;339;S
9700;JUNDIAI;340;S
9705;ARARAS;341;S
9710;GUAIBA;342;S
9715;CANOINHAS;343;S
9720;DIAMANTINA;344;S
9725;LAGUNA;345;S
9730;DOIS DE JULHO;346;S
9740;PENAPOLIS;347;S
9745;BIRIGUI;348;S
9750;ROLANDIA;349;S
9755;MORRINHOS;350;S
9760;BATATAIS;351;S
9765;MARINGA;352;S
9770;SANTIAGO;353;S
9775;ITU;354;S
9780;APUCARANA;355;S
9785;ALEM PARAIBA;356;S
9790;IPIAU;357;S
9795;CARAZINHO;358;S
9800;ARAPONGAS;359;S
9805;MANDAGUARI;360;S
9810;CURRAIS NOVOS;361;S
9815;PALMEIRA DAS MISSOES;362;S
9820;LAGOA VERMELHA;363;S
9825;LAVRAS;364;S
9830;CORONEL FABRICIANO;365;S
9835;MONTE CARMELO;366;S
9840;FARRAPOS;367;S
9845;POUSO ALEGRE;368;S
9850;STO.ANTONIO PATRULHA;369;S
9855;GUACUI;370;S
9860;IJUI;371;S
9865;DIVINOPOLIS;372;S
9875;DRACENA;373;S
9880;ITAPIPOCA;374;S
9885;CACADOR;375;S
9890;ITUMBIARA;376;S
9895;FORMOSA;377;S
9900;RAUL SOARES;378;S
9905;OURINHOS;379;S
9910;PARACATU;380;S
9915;PARANAVAI;381;S
9920;AGUAS DE LINDOIA;382;S
9925;CAMPOS ELISEOS;383;S
9930;MOOCA;384;S
9935;PINHEIROS;385;S
9940;EMPRESA SANTANA;386;S
9945;SANTO AMARO PAULISTA;387;S
9950;ASSAI;388;S
9955;JEQUITINHONHA;389;S
9960;GUAJARA-MIRIM;390;S
9965;DOURADOS;391;S
9970;CINELANDIA;392;S
9975;BOCAIUVA;393;S
9980;SAO GONCALO;394;S
9985;SETE LAGOAS;395;S
9990;CAPELINHA;396;S
9995;GUANHAES;397;S
10000;TUPACIGUARA;398;S
10005;MACHADO;399;S
10010;URAI;400;S
10015;BRUSQUE;401;S
10020;FERNANDOPOLIS;402;S
10025;VIDEIRA;403;S
10030;VALENCA;404;S
10035;JARAGUA DO SUL;405;S
10040;CAMPO MOURAO;406;S
10045;CRICIUMA;407;S
10050;S.SEBASTIAO PARAISO;408;S
10055;NOVA PRATA;409;S
10060;CONCORDIA;410;S
10065;JALES;411;S
10070;MANHUMIRIM;412;S
10075;MOCOCA;413;S
10080;CRUZ DAS ALMAS;414;S
10085;ATIBAIA;415;S
10090;TAQUARA;416;S
10095;ITAPETINGA;417;S
10100;CASA BRANCA;418;S
10105;IGARAPAVA;419;S
10110;ITARARE;420;S
10115;TRES PONTAS;421;S
10120;FRUTAL;422;S
10125;ENCANTADO;423;S
10130;ENCRUZILHADA DO SUL;424;S
10135;ITAUNA;425;S
10140;STO.ANTONIO PLATINA;426;S
10145;SAO BERNARDO CAMPO;427;S
10150;VICOSA;428;S
10155;BANDEIRANTES;429;S
10160;ESTRELA;430;S
10165;GUAPORE;431;S
10170;GUARARAPES;432;S
10175;JUAZEIRO DO NORTE;433;S
10180;MANTENA;434;S
10185;PRACA MAUA;435;S
10190;TUPI PAULISTA;436;S
10195;SAO LUIZ GONZAGA;437;S
10200;FRANCISCO SA;438;S
10205;OSVALDO CRUZ;439;S
10210;PEREIRA BARRETO;440;S
10215;PORECATU;441;S
10220;LUZ;442;S
10225;OLIVEIRA;443;S
10230;GETULIO VARGAS;444;S
10235;ITAJUIPE;445;S
10240;TIMBAUBA;446;S
10245;ESTRELA DO SUL;447;S
10250;MIRANDOPOLIS;448;S
10255;CRUZEIRO-SP;449;S
10260;B.AIRES ARGENTINA;450;S
10265;NHANDEARA;451;S
10270;EMPRESA CENTRAL;452;S
10280;AGUDO;453;S
10285;SAO FIDELIS;454;S
10290;SACRAMENTO;455;S
10295;AMPARO;456;S
10300;TRES PASSOS;457;S
10305;CERES;458;S
10310;STA.BARBARA D OESTE;459;S
10320;ANGRA DOS REIS;460;S
10325;SANTA CRUZ BOLIVIA;461;S
10330;SANTOS DUMONT-MG;462;S
10335;PIRES DO RIO;463;S
10340;BOM SUCESSO;464;S
10345;GARIBALDI;465;S
10350;SAO FRANCISCO DO SUL;466;S
10355;ITAPOLIS;467;S
10360;RESPLENDOR;468;S
10365;BARRA MANSA;469;S
10370;ADAMANTINA;470;S
10375;LEOPOLDINA;471;S
10380;EMPRESA ABOLICAO;472;S
10390;OURO PRETO;473;S
10395;ESPIRITO STO.PINHAL;474;S
10400;GUAIRA;475;S
10405;ASTORGA;476;S
10410;MACAU;477;S
10415;LINHARES;478;S
10420;CANOAS;479;S
10425;NANUQUE;480;S
10430;MARANGUAPE;481;S
10435;CORINTO;482;S
10440;SAO GOTARDO;483;S
10445;PARANAIBA;484;S
10450;CASTRO;485;S
10455;FARROUPILHA;486;S
10460;RIO POMBA;487;S
10465;SAO SEPE;488;S
10470;STA.MARIA DO SUACUI;489;S
10475;SOLEDADE;490;S
10480;GOIATUBA;491;S
10485;REGISTRO;492;S
10490;JACAREPAGUA;493;S
10495;SAO FRANCISCO;494;S
10500;PATO BRANCO;495;S
10505;INHUMAS;496;S
10510;VICENTE DE CARVALHO;497;S
10515;PACAEMBU;498;S
10525;SAO JERONIMO;500;S
10530;SARANDI;501;S
10535;CARMO DO PARANAIBA;502;S
10540;EMPRESA CONTAGEM;503;S
10555;CONSELHEIRO LAFAIETE;504;S
10560;IBITINGA;505;S
10565;INHAPIM;506;S
10570;PAULO DE FARIA;507;S
10575;UNAI;508;S
10580;NOVA ESPERANCA;509;S
10585;ITAPEVA;510;S
10590;TATUI;511;S
10595;ALTO ARAGUAIA;512;S
10600;PORANGATU;513;S
10605;PORTO FERREIRA;514;S
10610;PALMEIRAS DE GOIAS;515;S
10615;CRUZEIRO DO OESTE;516;S
10620;CURITIBANOS;517;S
10625;ITAPEMIRIM;518;S
10630;SAO JOAO DO PIAUI;519;S
10635;LOANDA;520;S
10640;POMBAL;521;S
10645;BAMBUI;522;S
10650;SAO ROQUE;523;S
10655;ESPINOSA;524;S
10660;IPANEMA;525;S
10665;QUIRINOPOLIS;526;S
10670;BANANEIRAS;527;S
10675;BACABAL;528;S
10680;URUACU;529;S
10685;S.LUIS MONTES BELOS;530;S
10690;CASCAVEL;531;S
10700;UBAJARA;532;S
10705;CORACAO DE JESUS;533;S
10710;BATALHA;534;S
10720;QUIXERAMOBIM;536;S
10725;SAO BENTO DO UNA;537;S
10735;COROMANDEL;539;S
10740;ARARANGUA;540;S
10745;ARRAIAS;541;S
10750;ARAPIRACA;542;S
